dataset,file,num_rows_used,mle_time_sec,surrogate_time_sec
n400,863_400_4.csv,400,6.047983169555664,0.0046577453613281
n400,368_400_4.csv,400,2.6015238761901855,0.0039458274841308
n400,816_400_4.csv,400,4.595704078674316,0.0065081119537353
n400,1082_400_4.csv,400,1.2916836738586426,0.0063569545745849
n400,826_400_4.csv,400,2.044395923614502,0.0041108131408691
n400,186_400_4.csv,400,1.5205647945404053,0.0079402923583984
n400,70_400_4.csv,400,2.702746868133545,0.0074629783630371
n400,1031_400_4.csv,400,8.438110113143921,0.0181522369384765
n400,135_400_4.csv,400,1.1284737586975098,0.0051262378692626
n400,495_400_4.csv,400,1.2101168632507324,0.0039999485015869
n400,338_400_4.csv,400,2.0559232234954834,0.0083909034729003
n400,1212_400_4.csv,400,5.075901985168457,0.0077381134033203
n400,707_400_4.csv,400,3.85550594329834,0.0109848976135253
n400,683_400_4.csv,400,3.5727291107177734,0.0075030326843261
n400,1160_400_4.csv,400,0.8490128517150879,0.0063958168029785
n400,212_400_4.csv,400,4.6076500415802,0.004241943359375
n400,903_400_4.csv,400,5.054541110992432,0.0038897991180419
n400,1017_400_4.csv,400,3.157942056655884,0.0088610649108886
n400,938_400_4.csv,400,1.5420610904693604,0.0035960674285888
n400,247_400_4.csv,400,1.807844877243042,0.0040750503540039
n400,1176_400_4.csv,400,1.3713421821594238,0.0037178993225097
n400,1067_400_4.csv,400,2.142099142074585,0.0039358139038085
n400,748_400_4.csv,400,2.329681873321533,0.0043079853057861
n400,1203_400_4.csv,400,3.068401336669922,0.0111088752746582
n400,696_400_4.csv,400,3.849146842956543,0.0035171508789062
n400,925_400_4.csv,400,3.5597572326660156,0.0076689720153808
n600,611_600_4.csv,600,10.438257217407228,0.0055820941925048
n600,500_600_4.csv,600,2.306804895401001,0.0148208141326904
n600,415_600_4.csv,600,9.75992202758789,0.008120059967041
n600,1200_600_4.csv,600,5.323899030685425,0.0072271823883056
n600,570_600_4.csv,600,3.3173842430114746,0.0070722103118896
n600,132_600_4.csv,600,2.8127591609954834,0.007573127746582
n600,261_600_4.csv,600,2.7053627967834473,0.0075421333312988
n600,1034_600_4.csv,600,9.551581144332886,0.0050270557403564
n600,526_600_4.csv,600,3.105379819869995,0.0061051845550537
n600,888_600_4.csv,600,9.344477891921995,0.0060150623321533
n600,288_600_4.csv,600,11.127124786376951,0.0190041065216064
n600,489_600_4.csv,600,6.081380128860474,0.0098729133605957
n600,498_600_4.csv,600,9.280739784240724,0.0063490867614746
n600,957_600_4.csv,600,3.480707883834839,0.0048778057098388
n600,88_600_4.csv,600,4.564190864562988,0.010430097579956
n600,93_600_4.csv,600,8.813230276107788,0.0042800903320312
n600,457_600_4.csv,600,5.386815071105957,0.013150930404663
n600,123_600_4.csv,600,10.768328189849854,0.0098130702972412
n600,1030_600_4.csv,600,8.538695812225342,0.0096471309661865
n600,69_600_4.csv,600,7.135556936264038,0.0088989734649658
n600,559_600_4.csv,600,3.131894826889038,0.0082087516784667
n600,1179_600_4.csv,600,4.926524877548218,0.0077350139617919
n600,608_600_4.csv,600,7.892000198364258,0.0059859752655029
n600,336_600_4.csv,600,7.940007925033569,0.0520288944244384
n600,895_600_4.csv,600,8.010671138763428,0.0087010860443115
n600,193_600_4.csv,600,6.399380922317505,0.0084741115570068
n600,712_600_4.csv,600,8.793373107910156,0.014341115951538
n600,1022_600_4.csv,600,8.580603837966919,0.0957748889923095
n600,1227_600_4.csv,600,6.1397340297698975,0.0064358711242675
n600,998_600_4.csv,600,3.456862211227417,0.0051689147949218
n600,539_600_4.csv,600,9.21970272064209,0.0047099590301513
n600,891_600_4.csv,600,5.2784130573272705,0.0048441886901855
n600,1112_600_4.csv,600,10.616808891296388,0.0039470195770263
n600,255_600_4.csv,600,5.022953987121582,0.0082120895385742
n600,238_600_4.csv,600,10.247613191604614,0.0049128532409667
n600,92_600_4.csv,600,5.6994309425354,0.005281925201416
n600,828_600_4.csv,600,6.726144075393677,0.0179400444030761
n600,979_600_4.csv,600,5.79207181930542,0.0151190757751464
n600,747_600_4.csv,600,8.732746839523315,0.0108242034912109
n600,779_600_4.csv,600,11.800581216812134,0.0052917003631591
n600,355_600_4.csv,600,4.608558893203735,0.0085670948028564
n600,1198_600_4.csv,600,13.183474063873293,0.0070288181304931
n600,297_600_4.csv,600,6.854245185852051,0.0080440044403076
n600,1129_600_4.csv,600,10.643291234970093,0.0046532154083251
n600,170_600_4.csv,600,10.522264003753662,0.0052931308746337
n600,733_600_4.csv,600,6.557666063308716,0.0058412551879882
n600,530_600_4.csv,600,8.927013158798218,0.0091190338134765
n600,1062_600_4.csv,600,9.07357120513916,0.0063090324401855
n600,774_600_4.csv,600,6.934802293777466,0.0045938491821289
n600,313_600_4.csv,600,5.126698732376099,0.0112330913543701
n600,744_600_4.csv,600,16.466449975967407,0.0165221691131591
n600,362_600_4.csv,600,11.437596797943115,0.0039772987365722
n600,99_600_4.csv,600,8.091889142990112,0.0059247016906738
n600,1216_600_4.csv,600,4.0310869216918945,0.0043196678161621
n600,809_600_4.csv,600,8.214579105377197,0.0039470195770263
n600,859_600_4.csv,600,9.214284181594849,0.005275011062622
n600,56_600_4.csv,600,11.52037787437439,0.004626989364624
n600,1240_600_4.csv,600,13.83837103843689,0.0057320594787597
n600,647_600_4.csv,600,14.20829176902771,0.0075099468231201
n600,1061_600_4.csv,600,6.74080491065979,0.0182509422302246
n600,118_600_4.csv,600,1.6457419395446775,0.0076291561126708
n600,486_600_4.csv,600,4.973551034927368,0.0056400299072265
n600,210_600_4.csv,600,8.416258096694946,0.0132980346679687
n600,802_600_4.csv,600,5.086915016174316,0.0106840133666992
n600,1084_600_4.csv,600,4.525254011154175,0.0107719898223876
n600,722_600_4.csv,600,11.932926177978516,0.0066606998443603
n600,412_600_4.csv,600,7.600433111190796,0.0189070701599121
n600,234_600_4.csv,600,3.7613730430603023,0.0178351402282714
n600,978_600_4.csv,600,9.540147066116331,0.0147929191589355
n600,225_600_4.csv,600,8.77228593826294,0.0205950736999511
n600,686_600_4.csv,600,3.128822088241577,0.004486083984375
n600,213_600_4.csv,600,2.6500117778778076,0.0182330608367919
n600,679_600_4.csv,600,6.420436143875122,0.004202127456665
n600,1046_600_4.csv,600,5.30123496055603,0.0119209289550781
n600,852_600_4.csv,600,8.008481979370117,0.0135118961334228
n600,273_600_4.csv,600,5.6307690143585205,0.0043981075286865
n600,664_600_4.csv,600,12.936890125274658,0.0054028034210205
n600,1089_600_4.csv,600,6.574142217636108,0.0042080879211425
n600,246_600_4.csv,600,4.215252876281738,0.0150299072265625
n600,698_600_4.csv,600,5.916778087615967,0.0074279308319091
n600,1247_600_4.csv,600,9.195759057998655,0.0176718235015869
