index,paramerter,true,pred,likelihood_lifespan,n
73,1,97.89537811279297,93.4378433227539,103.40340268686974,5000
73,2,97.68282318115234,90.11541748046875,91.93405341197054,5000
73,3,49.85580825805664,51.056644439697266,50.85595515637666,5000
74,1,4.700756549835205,4.619117736816406,0.0,5000
74,2,67.70154571533203,61.35914993286133,0.0,5000
74,3,10.747926712036133,8.123322486877441,inf,5000
75,1,64.10877990722656,65.43399047851562,65.04214311259645,5000
75,2,9.531765937805176,10.335013389587402,10.084359454753745,5000
75,3,74.2330551147461,70.92820739746094,72.06220934795262,5000
76,1,33.79530715942383,33.035797119140625,34.755133406015354,5000
76,2,22.442502975463867,22.645301818847656,21.81378429371326,5000
76,3,27.35127067565918,28.668489456176758,27.86344255558874,5000
77,1,35.68421173095703,58.13084411621094,50.88061463751124,5000
77,2,30.364049911499023,30.406530380249023,30.228477552211423,5000
77,3,64.85232543945312,63.654544830322266,62.48169664965166,5000
78,1,12.66082763671875,8.414352416992188,13.146588639335398,5000
78,2,53.17574691772461,53.98491668701172,51.027086719155704,5000
78,3,58.26239013671875,59.572052001953125,57.923252666039666,5000
79,1,91.74742889404297,86.19131469726562,90.17461970061697,5000
79,2,72.78833770751953,74.95673370361328,73.43216960204384,5000
79,3,22.418087005615234,22.477575302124023,22.988032308398136,5000
80,1,91.4878921508789,89.33092498779297,0.0,5000
80,2,18.66260528564453,18.883277893066406,inf,5000
80,3,86.12686920166016,85.55319213867188,0.0,5000
81,1,64.08274841308594,69.35139465332031,69.50986554050988,5000
81,2,53.609153747558594,52.288047790527344,51.74230528479189,5000
81,3,80.3161392211914,80.93849182128906,82.02857639610149,5000
82,1,49.31306076049805,54.102359771728516,52.45010474470849,5000
82,2,21.0740909576416,19.95845603942871,21.371461563739665,5000
82,3,18.35751724243164,15.789429664611816,18.153125023324087,5000
83,1,59.563541412353516,60.521888732910156,60.233593302186584,5000
83,2,80.54899597167969,76.3506088256836,77.72940142439425,5000
83,3,17.18219757080078,15.954097747802734,17.23458321156364,5000
84,1,87.90674591064453,82.96266174316406,84.53025523372393,5000
84,2,14.826592445373535,14.10066032409668,14.127473220074222,5000
84,3,31.591148376464844,31.253477096557617,32.36513280696366,5000
85,1,68.88397216796875,70.55978393554688,71.31812679507917,5000
